;_id;available;connected;estation;free;open;ticket;total;;
194;5c605be225541729b7d50945;17;1;192;3;1;1;20;;
195;5c605be225541729b7d50946;18;0;193;2;1;1;20;;
196;5c605be225541729b7d50947;10;1;197;5;1;0;15;;
197;5c605be225541729b7d50948;17;1;198;3;1;1;20;;
198;5c605be225541729b7d50949;5;1;199;10;1;0;15;;
199;5c605be225541729b7d5094a;0;1;200;15;1;0;15;;
200;5c605be225541729b7d5094b;3;1;201;17;1;0;20;;
201;5c605be225541729b7d5094c;4;1;182;17;1;0;21;;
202;5c605be225541729b7d5094d;9;1;207;6;1;0;15;;
203;5c605be225541729b7d5094e;14;1;208;6;1;0;20;;
204;5c605be225541729b7d5094f;17;1;209;1;1;1;18;;
205;5c605be225541729b7d50950;3;1;210;12;1;1;15;;
206;5c605be225541729b7d50951;8;1;211;7;1;0;15;;
207;5c605be225541729b7d50952;0;1;212;15;1;1;15;;
208;5c605be225541729b7d50953;9;1;213;6;1;0;15;;
209;5c605be225541729b7d50954;9;1;214;6;1;1;15;;
210;5c605be225541729b7d50955;11;1;215;4;1;1;15;;
211;5c605be225541729b7d50956;10;1;216;7;1;0;17;;
212;5c605be225541729b7d50957;7;1;217;18;1;1;25;;
213;5c605be225541729b7d50958;3;1;218;12;1;1;15;;
214;5c605be225541729b7d50959;6;1;219;12;1;0;18;;
215;5c605be225541729b7d5095a;3;1;220;13;1;1;16;;
216;5c605be225541729b7d5095b;1;1;221;18;1;1;20;;
217;5c605be225541729b7d5095c;9;1;222;11;1;0;20;;
218;5c605be225541729b7d5095d;6;1;223;13;1;1;20;;
219;5c605be225541729b7d5095e;15;1;224;5;1;0;20;;
220;5c605be225541729b7d5095f;0;1;225;20;1;1;20;;
221;5c605be225541729b7d50960;3;1;226;27;1;0;30;;
222;5c605be225541729b7d50961;3;1;227;17;1;1;20;;
223;5c605be225541729b7d50962;0;1;228;15;1;1;15;;
224;5c605be225541729b7d50963;0;1;229;16;1;0;16;;
225;5c605be225541729b7d50964;0;1;230;15;1;0;15;;
226;5c605be225541729b7d50965;11;1;231;4;1;1;15;;
227;5c605be225541729b7d50966;14;1;232;1;1;1;15;;
228;5c605be225541729b7d50967;4;1;233;11;1;1;15;;
229;5c605be225541729b7d50968;8;1;234;7;1;0;15;;
230;5c605be225541729b7d50969;5;1;235;10;1;1;15;;
231;5c605be225541729b7d5096a;4;1;236;11;1;1;15;;
232;5c605be225541729b7d5096b;7;1;237;8;1;1;15;;
233;5c605be225541729b7d5096c;12;1;238;3;1;0;15;;
234;5c605be225541729b7d5096d;2;1;239;18;1;1;20;;
235;5c605be225541729b7d5096e;0;1;240;20;1;0;20;;
236;5c605be225541729b7d5096f;2;1;241;13;1;0;15;;
237;5c605be225541729b7d50970;1;1;242;14;1;0;15;;
238;5c605be225541729b7d50971;13;1;243;4;1;1;18;;
